linux,DPDK,eBPF
0.414,0.936,0.593
0.409,1.04,0.567
0.409,0.970,0.605
0.415,0.931,0.590
0.483,0.948,0.653
0.489,1.03,0.652
0.542,0.898,0.653
0.546,1.05,0.588
0.557,1.03,0.545
0.489,0.874,0.538
0.488,1.01,0.601
0.533,1.03,0.506
0.427,1.04,0.651
0.510,0.944,0.592
0.497,1.05,0.579
0.492,0.967,0.840
0.534,0.931,0.519
0.542,0.936,0.531
0.543,1.02,0.596
0.493,0.912,0.575
0.495,1.14,0.611
0.540,1.05,0.580
0.535,0.885,0.598
0.541,1.05,0.606
0.510,1.04,0.640
0.487,0.910,0.484
0.535,0.937,0.637
0.547,1.04,0.606
0.488,1.04,0.663
0.501,0.943,0.550
0.420,0.937,0.604
0.538,0.967,0.601
0.540,0.911,0.599
0.413,1.12,1.26
0.497,1.03,0.607
0.478,0.878,0.690
0.543,1.05,0.670
0.538,1.03,0.585
0.543,0.877,0.535
0.489,0.927,0.601
0.406,0.867,0.596
0.418,1.03,0.995
0.415,2.07,0.548
0.476,0.984,0.562
0.438,0.853,0.560
0.480,0.864,0.637
0.411,0.988,0.596
0.522,0.918,0.565
0.409,0.890,0.574
0.423,0.924,0.588
0.473,0.983,0.732
0.469,0.834,0.546
0.417,1.07,0.574
0.411,0.971,0.562
0.529,0.892,0.720
0.427,0.871,0.554
0.480,0.879,0.566
0.488,0.970,0.565
0.537,0.841,0.549
0.555,1.07,0.560
0.538,0.974,0.581
0.478,0.822,0.531
0.498,0.874,0.524
0.547,1.00,0.865
0.546,0.982,0.571
0.532,0.879,0.533
0.493,0.920,0.557
0.535,0.997,0.569
0.542,0.821,0.564
0.424,0.886,0.537
0.433,0.980,0.529
0.473,0.987,0.526
0.484,0.905,0.610
0.433,0.909,0.550
0.930,0.979,0.530
0.405,0.891,0.547
0.496,1.03,0.515
0.497,0.964,0.535
0.421,0.906,0.593
0.548,0.875,0.576
0.539,1.01,0.556
0.492,0.964,0.601
0.432,0.882,0.639
0.414,0.911,0.589
0.422,0.988,0.638
0.406,0.818,0.507
0.470,0.892,0.785
0.478,0.971,0.557
0.407,0.917,0.551
0.411,0.909,0.507
0.413,0.835,0.541
0.426,0.985,0.568
0.345,0.902,0.563
0.473,0.996,0.531
0.491,0.991,0.559
0.488,0.819,0.822
0.444,0.886,0.513
0.454,0.863,0.529
0.461,0.971,0.549
0.516,0.844,0.678
0.517,0.947,0.567
0.460,0.989,0.521
0.398,0.889,0.571
0.472,0.888,0.506
0.406,0.834,0.584
0.534,0.984,0.539
0.531,0.843,0.575
0.538,1.02,0.511
0.483,0.926,0.563
0.547,0.880,0.565
0.535,0.866,0.521
0.542,0.870,0.521
0.540,0.970,0.511
0.492,0.882,0.586
0.548,1.02,0.594
0.541,0.969,0.609
0.411,0.847,0.615
0.406,0.875,0.507
0.476,0.992,0.723
0.553,0.930,0.525
0.534,0.889,0.533
0.535,0.894,0.565
0.537,0.973,0.513
0.496,0.878,0.570
0.543,0.983,0.519
0.542,0.967,0.535
0.412,0.936,0.562
0.433,0.820,0.914
0.468,0.886,0.569
0.506,0.980,0.528
0.424,0.882,0.623
0.535,0.996,0.535
0.450,0.984,0.613
0.486,0.884,0.573
0.509,0.883,0.542
0.533,0.874,0.549
0.541,0.988,0.576
0.550,0.895,0.568
0.477,1.00,0.603
0.510,0.988,0.614
0.544,0.842,0.600
0.532,0.864,0.668
0.542,0.990,0.558
0.492,0.965,0.536
0.506,0.837,0.532
0.535,0.891,0.521
0.534,0.979,0.571
0.541,0.883,0.524
0.486,0.975,0.547
0.546,0.985,0.512
0.545,0.971,0.983
0.491,0.878,0.516
0.438,0.889,0.614
0.485,0.964,0.601
0.434,0.846,0.607
0.415,1.05,0.559
0.407,0.962,0.565
0.485,0.899,0.514
0.471,0.871,0.574
0.483,0.952,0.568
0.418,0.993,0.530
0.412,0.907,0.626
0.404,1.02,0.604
0.411,0.968,0.563
0.491,0.842,1.06
0.475,1.02,0.543
0.413,0.999,0.577
0.411,0.901,0.509
0.411,0.868,0.684
0.441,0.881,0.513
0.403,0.973,0.590
0.539,0.878,0.561
0.536,1.00,0.557
0.529,0.968,0.559
0.565,0.837,0.581
0.488,0.814,0.564
0.488,0.890,0.514
0.541,0.966,0.611
1.58,0.884,0.619
0.495,1.03,0.614
0.492,0.973,0.622
0.543,0.833,0.617
0.505,0.889,0.590
0.432,1.01,0.518
0.491,0.931,0.534
0.411,0.880,0.510
0.527,0.891,0.584
0.409,0.982,0.515
0.480,0.894,0.525
0.489,1.01,0.538
0.471,0.917,0.511
0.418,0.818,0.635
0.410,0.874,0.591
0.521,0.883,0.561
