bigflood,bigfloodDPDK,bigfloodeBPF,flood,floodDPDK,floodeBPF,ping,pingDPDK,pingeBPF
0.462,0.889,0.550,0.040,0.267,0.092,0.139,0.379,0.153
0.477,1.02,0.587,0.041,0.279,0.056,0.120,0.381,0.161
0.408,1.11,0.559,0.041,0.282,0.058,0.122,0.380,0.176
0.406,1.01,0.633,0.040,0.274,0.111,0.120,0.381,0.192
0.412,1.01,0.612,0.040,0.280,0.054,0.120,0.379,0.156
0.476,1.15,0.812,0.040,0.278,0.052,0.121,0.380,0.164
0.415,1.01,0.556,0.040,0.276,0.052,0.121,0.387,0.191
0.485,1.02,0.580,0.041,0.279,0.066,0.122,0.377,0.193
0.400,0.986,0.518,0.040,0.275,0.056,0.088,0.384,0.201
0.414,1.02,0.518,0.041,0.260,0.049,0.119,0.378,0.164
0.532,1.00,0.539,0.040,0.266,0.052,0.120,1.48,0.182
0.460,1.12,0.536,0.040,0.263,0.049,0.120,0.373,0.153
0.426,1.01,0.603,0.041,0.274,0.050,0.121,0.395,0.179
0.461,1.01,0.616,0.040,0.274,0.048,0.121,0.388,0.163
0.414,1.11,0.603,0.040,0.276,0.053,0.120,0.378,0.203
0.426,0.893,0.590,0.050,0.390,0.050,0.120,0.378,0.186
0.522,1.01,0.564,0.041,0.282,0.056,0.122,0.378,0.193
0.481,1.11,0.572,0.040,0.275,0.051,0.088,0.379,0.161
0.475,1.01,0.544,0.041,0.278,0.049,0.119,0.382,0.155
0.418,1.01,0.563,0.040,0.285,0.050,0.088,0.380,0.174
0.416,1.11,0.519,0.041,0.259,0.051,0.120,0.382,0.190
0.414,1.01,0.512,0.040,0.224,0.048,0.122,0.380,0.179
1.03,1.00,0.518,0.041,0.239,0.092,0.121,0.380,0.192
0.439,0.997,0.515,0.040,0.278,0.057,0.123,0.379,0.183
0.498,1.01,0.571,0.040,0.279,0.050,0.088,0.376,0.192
0.552,1.01,0.600,0.041,0.262,0.050,0.121,0.381,0.166
0.540,1.11,0.627,0.040,0.275,0.050,0.088,0.387,0.164
0.422,1.01,0.609,0.041,0.283,0.050,0.121,0.381,0.200
0.542,1.01,0.511,0.041,0.281,0.060,0.121,1.47,0.160
0.492,1.00,0.693,0.040,0.262,0.084,0.120,0.381,0.162
0.550,1.01,0.521,0.041,0.265,0.057,0.121,0.375,0.207
0.416,1.10,0.547,0.040,0.272,0.049,0.121,0.381,0.184
0.409,0.991,0.570,0.041,0.261,0.050,0.121,0.379,0.177
0.443,1.02,0.582,0.040,0.264,0.049,0.122,0.385,0.163
0.472,1.01,0.747,0.041,0.260,0.052,0.122,0.377,0.156
0.522,1.12,0.545,0.040,0.267,0.049,0.121,0.380,0.158
0.541,0.887,0.523,0.044,0.263,0.109,0.120,0.381,0.190
0.534,1.02,0.512,0.042,0.264,0.056,0.121,0.379,0.175
0.546,1.11,0.816,0.041,0.267,0.086,0.122,0.378,0.152
0.477,0.892,0.579,0.040,0.336,0.050,0.121,0.379,0.164
0.501,0.946,0.589,0.041,0.265,0.048,0.121,0.393,0.148
0.541,1.06,0.543,0.040,0.277,0.050,0.123,0.384,0.203
0.543,0.902,0.537,0.040,0.265,0.049,0.120,0.379,0.185
0.534,1.08,0.569,0.041,0.267,0.058,0.121,0.387,0.162
0.489,1.08,0.517,0.040,0.267,0.052,0.087,0.377,0.164
0.549,0.890,0.516,0.041,0.273,0.051,0.120,0.385,0.189
0.541,1.15,0.518,0.040,0.269,0.049,0.122,1.47,0.180
0.515,1.12,0.650,0.041,0.275,0.049,0.121,0.391,0.171
0.543,1.01,0.545,0.041,0.262,0.049,0.121,0.391,0.198
0.497,1.01,0.527,0.040,0.264,0.046,0.120,0.382,0.194
0.436,1.11,0.533,0.041,0.263,0.049,0.120,0.387,0.177
0.428,1.02,0.519,0.040,0.264,0.057,0.119,0.380,0.172
0.411,1.06,0.579,0.040,0.274,0.050,0.119,0.378,0.162
0.545,1.13,0.519,0.040,0.267,0.049,0.088,0.389,0.174
0.475,0.999,0.511,0.040,0.280,0.048,0.121,0.390,0.197
0.513,1.02,0.607,0.040,0.268,0.080,0.122,0.378,0.150
0.543,1.05,0.597,0.041,0.266,0.504,0.121,0.382,0.170
0.531,0.917,0.561,0.040,0.267,0.098,0.121,0.380,0.173
0.431,1.06,0.514,0.041,0.267,0.106,0.121,0.380,0.191
0.477,0.989,0.592,0.041,0.273,0.105,0.121,0.379,0.188
0.500,0.869,0.559,0.041,0.267,0.105,0.092,0.382,0.170
0.533,0.903,0.814,0.040,0.264,0.105,0.121,0.385,0.191
0.538,0.976,0.511,0.040,0.266,0.107,0.121,0.382,0.200
0.552,0.985,0.568,0.041,0.273,0.103,0.121,0.382,0.178
0.489,0.911,0.519,0.041,0.277,0.106,0.121,1.46,0.156
0.503,1.05,0.580,0.041,0.269,0.106,0.122,0.380,0.155
0.540,1.04,0.587,0.041,0.268,0.106,0.121,0.374,0.151
0.531,0.881,0.588,0.040,0.264,0.105,0.130,0.372,0.175
0.536,1.12,0.532,0.041,0.263,0.105,0.121,0.380,0.175
0.497,1.04,0.516,0.041,0.273,0.105,0.120,0.378,0.173
0.558,0.945,1.15,0.040,0.265,0.106,0.121,0.378,0.152
0.538,0.951,0.544,0.041,0.264,0.106,0.120,0.384,0.159
0.491,1.11,0.536,0.040,0.278,0.105,0.120,0.390,0.183
0.444,0.953,0.570,0.041,0.266,0.116,0.121,0.382,0.191
0.480,0.953,0.639,0.041,0.282,0.099,0.121,0.380,0.175
0.423,0.998,0.581,0.040,0.280,0.048,0.120,0.381,0.201
0.415,0.984,0.536,0.041,0.280,0.050,0.122,0.387,0.152
0.413,0.938,0.565,0.040,0.275,0.078,0.120,0.387,0.203
0.480,0.947,0.511,0.041,0.284,0.051,0.122,0.381,0.199
0.471,1.06,0.592,0.040,0.278,0.048,0.120,0.390,0.208
0.494,0.965,0.517,0.043,0.261,0.051,0.121,0.383,0.158
0.415,1.18,0.521,0.043,0.264,0.049,0.121,0.382,0.181
0.404,1.04,0.612,0.040,0.266,0.049,0.124,1.46,0.179
0.413,0.883,0.795,0.040,0.273,0.053,0.119,0.374,0.178
0.540,1.03,0.604,0.040,0.274,0.102,0.121,0.378,0.176
0.482,0.995,0.535,0.041,0.263,0.045,0.120,0.381,0.163
0.491,0.932,0.536,0.041,0.275,0.050,0.121,0.381,0.189
0.537,0.936,0.577,0.041,0.281,0.050,0.121,0.380,0.201
0.532,1.04,0.581,0.041,0.284,0.050,0.088,0.381,0.160
0.535,0.937,0.535,0.040,0.286,0.049,0.120,0.382,0.185
0.495,0.929,0.529,0.041,0.281,0.050,0.120,0.379,0.153
0.503,0.939,0.596,0.040,0.281,0.049,0.121,0.394,0.156
0.533,1.04,0.575,0.041,0.279,0.076,0.120,0.388,0.207
0.534,0.978,0.577,0.041,0.277,0.052,0.121,0.389,0.182
0.426,1.08,0.602,0.041,0.262,0.053,0.120,0.380,0.159
0.498,1.05,0.652,0.040,0.269,0.053,0.121,0.380,0.189
0.487,0.951,0.665,0.040,0.259,0.066,0.088,0.393,0.148
0.429,1.17,0.742,0.041,0.280,0.046,0.089,0.385,0.180
0.545,1.02,0.714,0.040,0.273,0.049,0.120,0.379,0.200
0.430,0.877,0.520,0.041,0.274,0.050,0.122,0.385,0.159
0.487,0.950,0.531,0.040,0.277,0.050,0.121,1.45,0.166
0.496,1.03,0.599,0.041,0.278,0.102,0.121,0.379,0.159
0.543,0.923,0.549,0.040,0.280,0.049,0.125,0.383,0.156
0.417,0.933,0.597,0.041,0.261,0.049,0.123,0.390,0.151
0.552,0.932,0.597,0.041,0.260,0.050,0.120,0.381,0.189
0.495,0.976,0.597,0.040,0.270,0.049,0.122,0.381,0.159
0.491,0.916,0.559,0.041,0.276,0.050,0.088,0.383,0.201
0.535,0.871,0.578,0.040,0.279,0.059,0.120,0.380,0.177
0.540,1.07,0.609,0.041,0.267,0.100,0.121,0.381,0.181
0.556,0.929,0.536,0.040,0.276,0.055,0.121,0.385,0.176
0.496,0.936,0.600,0.041,0.274,0.084,0.120,0.382,0.178
0.497,0.988,0.575,0.040,0.279,0.048,0.121,0.383,0.180
0.554,1.04,0.606,0.040,0.288,0.050,0.121,0.380,0.169
0.536,0.918,0.603,0.041,0.274,0.049,0.121,0.380,0.191
0.453,1.04,0.522,0.040,0.274,0.050,0.120,0.382,0.175
0.498,1.02,0.962,0.041,0.274,0.049,0.088,0.382,0.186
0.493,0.912,0.571,0.040,0.274,0.050,0.121,0.382,0.191
0.540,0.929,0.595,0.040,0.266,0.048,0.121,0.386,0.207
0.543,1.64,0.598,0.041,0.265,0.049,0.122,1.44,0.152
0.555,0.918,0.644,0.040,0.269,0.050,0.122,0.379,0.183
0.510,0.920,0.609,0.041,0.278,0.050,0.120,0.380,0.164
0.484,1.02,0.609,0.040,0.282,0.093,0.121,0.381,0.164
0.555,0.920,0.657,0.041,0.279,0.048,0.120,0.379,0.193
1.45,1.08,0.643,0.041,0.426,0.050,0.121,0.388,0.147
0.485,0.968,0.534,0.040,0.277,0.049,0.089,0.380,0.164
0.516,0.869,0.525,0.041,0.279,0.048,0.122,0.393,0.159
0.506,1.06,0.514,0.040,0.277,0.050,0.122,0.380,0.207
0.499,1.04,0.525,0.041,0.284,0.080,0.121,0.381,0.201
0.432,0.913,0.699,0.040,0.259,0.050,0.121,0.383,0.198
0.486,0.919,0.518,0.041,0.268,0.050,0.121,0.385,0.191
0.487,1.04,0.521,0.040,0.266,0.048,0.121,0.388,0.181
